Age,Gender,EmploymentStatus,MonthlyIncome,Education,FlightsPerYear,TravelPurpose,AvgSpendPerFlight,Class,AirlinePrefReason,ValuedServices,PainPoints,BundledOfferInterest,PersonalizationImportance,CustomizableServices,BookingDevice,TechComfortLevel,AppUsage,DataSharingConsent,WillingToUsePersonalizationApp,WillingToPayExtra,PercentWillingToSpendMore,RecommendsInAppOffers,TrustsAirlinesWithData,WillRecommendToOthers
39,Male,Student,2792,Master’s,2-4,Leisure,233,Premium Economy,Pricing,Customer Service,"Delays, Limited amenities",Yes,2,Boarding experience,Agent,1,Yes,Maybe,No,No,0,Yes,No,No
38,Male,Employed,5368,Doctorate,5-8,Family,515,Premium Economy,Service,"WiFi, Others, Legroom",Expensive tickets,No,5,"Seats, Check-in process",Agent,1,No,Yes,Yes,Yes,20,No,Maybe,Yes
30,Female,Student,3813,High school,2-4,Family,314,Economy,Service,Legroom,"Poor customer service, Expensive tickets",Yes,3,"Meals, Entertainment",Agent,1,Yes,Maybe,No,Yes,10,No,No,No
25,Female,Self-employed,500,High school,2-4,Business,315,Business,Loyalty Program,"WiFi, Food, Customer Service","Expensive tickets, Baggage loss, Poor customer service",No,4,Entertainment,App,2,No,Maybe,Yes,No,0,No,Yes,Yes
25,Female,Retired,881,Doctorate,0-1,Business,305,Economy,Service,"Others, Cleanliness","Lack of customization, Delays",No,4,"Check-in process, Boarding experience, Entertainment",Agent,1,Yes,Maybe,Maybe,No,10,No,Yes,No
40,Prefer not to say,Employed,2183,Doctorate,0-1,Family,416,Premium Economy,Others,Others,"Expensive tickets, Lack of customization, Baggage loss",Yes,3,Boarding experience,Agent,1,No,No,Yes,No,0,No,Yes,Yes
28,Male,Employed,2562,Other,0-1,Business,246,First Class,Pricing,"Food, Cleanliness","Lack of customization, Baggage loss",No,5,"Check-in process, Meals, Boarding experience",Agent,3,No,Maybe,No,No,5,No,Yes,Yes
33,Female,Student,4233,Master’s,0-1,Leisure,216,Premium Economy,Pricing,Cleanliness,"Delays, Baggage loss, Limited amenities",Yes,3,Boarding experience,App,3,No,Yes,Yes,Yes,10,No,Yes,Yes
21,Prefer not to say,Unemployed,7845,High school,9+,Family,432,First Class,Loyalty Program,"Others, Cleanliness, WiFi, Customer Service",Poor customer service,No,1,Meals,App,5,No,Yes,Yes,Yes,20,No,No,Yes
43,Female,Student,2826,Doctorate,0-1,Business,354,Economy,Pricing,"Food, Legroom","Poor customer service, Baggage loss",No,1,Check-in process,App,4,No,No,Yes,No,5,Yes,Yes,Yes
